ID,Agency Name,Required Report Name,Report Description,Frequency,Frequency Integer,Other Frequency Description,Start Date,End Date,Authorizing Resource (Charter and Code),Authorizing Resource (Local Law),Formatted Start Date,Formatted End Date
11,"Administrative Trials and Hearings, Office of (OATH)",Report on Agency Policies on Identifying Information,"Report regarding the collection, retention, and disclosure of identifying information by such agency and any contractors or subcontractors utilized by such agency",Every X years,2,,July 31 2020,,"New York City Administrative Code Title 23, Section 1205",LL 245/2017,2020-07-31,
12,"Administrative Trials and Hearings, Office of (OATH)",Report on ECB Adjudications of Summonses Issued to Vendors,"Report on the last 3 months of violations that were issued pursuant to Administrative Code Title 20, Section 467 or to subchapter 2 of chapter 3 of Title 17 of the administrative code, and that were adjudicated by the environmental control board",Every X months,3,,March 1 2020,,"New York City Administrative Code Title 20, Chapter 2, Section 472.1(b)",LL 16/2013,2020-03-01,
13,"Administrative Trials and Hearings, Office of (OATH)",Report on Open Data Compliance,"Report on which public data set or sets that it is unable to make available, the reasons why it cannot do so and the date by which the agency expects that such public data set or sets will be available on the single web portal",,,Annually direct to Mayor's Office for Open Data,,,"New York City Administrative Code Title 23, Section 502(a)",LL 11/2012,,
14,"Aging, Department for the (DFTA)",Annual Plan Summary of Advisory Council,The duties of the council revolve around advising the commissioner for the aging and to make recommendations. The council reports on its activities throughout the year.,Every X years,1,,January 31 2020,,"New York City Charter  Chapter 66, Section 2403(b)                                 ",,2020-01-31,
15,"Aging, Department for the (DFTA)",Annual Report on Senior Centers Metrics,Report on numbers of participants and meals served at all department-funded senior centers,Every X years,1,,December 31 2020,,"New York City Administrative Code, Title 21, Section 208(d)",LL 140/2018,2020-12-31,
16,"Aging, Department for the (DFTA)",Annual Report on Senior Services Metrics,Report on services of all department-funded senior centers,Every X years,1,,December 31 2020,,"New York City Administrative Code, Title 21, Section 208(b)",LL 140/2018,2020-12-31,
17,"Aging, Department for the (DFTA)",Language Access Implementation Plan/Local Law 30 of 2017 Report,,Every X years,3,,December 31 2020,,New York City Administrative Code Title 23 Section 1102(d),LL30/2017,2020-12-31,
18,"Aging, Department for the (DFTA)",Ombudsperson Report on Social Adult Day Cares,"Each such report shall include, but not be limited to:(i) the total number of social adult day cares and the name and street address of each such social adult day care; (ii) the total number of complaints received by the ombudsperson; (iii) a general description of the reason for each such complaint; (iv) the total number of investigations conducted by the ombudsperson, a general description of the reason for each such investigation, any findings that a social adult day care has violated of subdivision a of this section, and the outcome of each such investigation; (v) the total number of notices of violation issued pursuant to subdivisions a and c of this section, disaggregated by the specific violation for which such notice was issued; (vi) the total number of social adult day cares that failed to register pursuant to subdivision b as of the",Every X years,1,,January 1 2020,,"New York City Administrative Code, Title 21, Section 204",LL 9/2015,2020-01-01,
19,"Aging, Department for the (DFTA)",Quarterly Equal Employment Opportunity and Diversity Plan Implementation,"A report on the agency's efforts during the previous quarter to implement the plan adopted pursuant to paragraph nineteen (annual plan) of Section 815(a),including details of agency's efforts to implement equal employment practices, including statistical information regarding total employment, including provisional, seasonal, per-diem and part-time employees, new hiring and promotions in a manner which facilitates understanding of an agency's efforts to provide fair and effective equal opportunity employment for minority group members, women and members of other groups who are employed by, or who seek employment with, city agencies",Every X months,3,,January 1 2020,,"New York City Charter Chapter 35, Section 815(i) ","LL 102/1977, LL 59/1996, LL 12/2019",2020-01-01,
20,"Aging, Department for the (DFTA)",Report on Agency Policies on Identifying Information,"Report regarding the collection, retention, and disclosure of identifying information by such agency and any contractors or subcontractors utilized by such agency",Every X years,2,,July 31 2020,,"New York City Administrative Code Title 23, Section 1205",LL 245/2017,2020-07-31,
21,"Aging, Department for the (DFTA)",Report on Open Data Compliance,"Report on which public data set or sets that it is unable to make available, the reasons why it cannot do so and the date by which the agency expects that such public data set or sets will be available on the single web portal",,,"Annually, direct to Mayor's Office for Open Data",,,"New York City Administrative Code Title 23, Section 502(a)",LL 11/2012,,
22,"Aging, Department for the (DFTA)",Report on Progress on Unpaid Caregivers Plan,"A report detailing progress made on the recommendations, initiatives, and priorities that result from such plan, as well as updated data",Every X years,5,,August 30 2024,,"New York City Administrative Code, Title 21, Section 206(e)",LL 97/2016,2024-08-30,
23,"Aging, Department for the (DFTA)",Update to Unpaid Caregiver Plan,Revisited and revised plan,Every X years,4,,January 1 2021,,"New York City Administrative Code, Title 21, Section 206(f)",LL 97/2016,2021-01-01,
24,"Animal Welfare, Mayor's Office of",Annual Report of the Animal Welfare Service and Program Needs,,Every X years,1,,January 1 2021,,"New York City Charter Chapter 23, Section 582",LL  204/2019,2021-01-01,
25,Borough Presidents,Report on Delivery of Services,Report evaluating delivery of services listed in subdivision a or are required to be made conterminous pursuant to subdivision c,,,Each borough president may publish an annual report,,,New York City Charter Section 2704,,,
26,Borough Presidents,Report on proposed modifications of the preliminary budget,"In best interest of the borough, taking into consideration community and borough board priorities and testimony at public hearings",Every X years,1,,March 10 2020,,"New York City Charter Chapter 10, Section 245",,2020-03-10,
27,Borough Presidents,Response to the Mayor's Executive Budget,A response to the Mayor's Executive budget indicating which of the recommended appropriations submitted by the borough president pursuant to Charter Section 245 should be considered by the City Council for inclusion in the budget with recommendations for offsetting reductions in other appropriations within the borough,Every X years,1,,May 6 2020,,"New York City Charter Chapter 10, Section 251",,2020-05-06,
28,Borough Presidents,Strategic Policy Statement,"Summary of long-term issues faced by the borough, policy goals and proposed strategies for achievement",Every X years,4,,September 1 2020,,"New York City Charter Chapter 4, Section 82",,2020-09-01,
29,"Buildings, Department of (DOB)",Annual Report of the Office of Alternative Energy,With the DOB Office of Alternative Energy; due no later than three months after the end of each fiscal year,Every X years,1,,September 30 2020,,"New York City Administrative Code, Title 28, Section 103.31.3",LL 233/2017,2020-09-30,
30,"Buildings, Department of (DOB)",Language Access Implementation Plan/Local Law 30 of 2017 Report,,Every X years,3,,December 31 2020,,New York City Administrative Code Title 23 Section 1102(d),LL30/2017,2020-12-31,
32,"Buildings, Department of (DOB)",Notice on Proposed Building or Alteration Requiring a New Certificate of Occupancy or Full Plan Exam,A copy of all notices of approval for applications for a new building or an alteration that will require a new certificate of occupancy for a building,Every X weeks,1,,January 1 2020,,"New York City Administrative Code, Title 28, Section 104.2.7.1","LL 10/2016, LL 158/2017",2020-01-01,
33,"Buildings, Department of (DOB)",Notice Regarding Hotel Development Plans,Notice of applications for new construction of or conversion to transient hotels as defined in the zoning resolution,,,As needed,,,"New York City Administrative Code, Title 28, Section 103.25",LL 45/2015,,
34,"Buildings, Department of (DOB)",Quarterly Equal Employment Opportunity and Diversity Plan Implementation,"A report on the agency's efforts during the previous quarter to implement the plan adopted pursuant to paragraph nineteen (annual plan) of Section 815(a),including details of agency's efforts to implement equal employment practices, including statistical information regarding total employment, including provisional, seasonal, per-diem and part-time employees, new hiring and promotions in a manner which facilitates understanding of an agency's efforts to provide fair and effective equal opportunity employment for minority group members, women and members of other groups who are employed by, or who seek employment with, city agencies",Every X months,3,,January 1 2020,,"New York City Charter Chapter 35, Section 815(i) ","LL 102/1977, LL 59/1996, LL 12/2019",2020-01-01,
35,"Buildings, Department of (DOB)",Report of the Advisory Board on Recommendations on  Improving Energy and Emissions Performance Requirements ,Report for covered buildings. Such recommendations shall be targeted to achieve at least a 40 percent reduction in aggregate greenhouse gas emissions from covered buildings by calendar year 2030 relative to such emissions for the calendar year 2005,Once ,1,,January 1 2023,,"New York City Administrative Code Title 28, Section 320.2(2)","LL 147/2019, LL 97/2019",2023-01-01,
36,"Buildings, Department of (DOB)",Report Of the Advisory Board on Recommendations on Additional or Improved Approached to Assessing Building Energy Performance,"Report on effectively reducing greenhouse gas emissions from buildings and assessing reductions, including methodology, amendments to the audit required under 28-308.2, evaluation of existing methods and more (with the DOB Office of Building Energy and Emissions Advisory Board)",Once,1,,January 1 2023,,"New York City Administrative Code Title 28, Section 320.2(1)","LL 147/2019, LL 97/2019",2023-01-01,
37,"Buildings, Department of (DOB)",Report on Activities of the Office of the Tenant Advocate,Report including but not limited to: 1. the number of complaints received by the office and a description of such complaints; 2. the average time taken to respond to such complaints; 3. a description of efforts made to communicate with tenants; and 4. the number of recommendations made to the commissioner to issue a stop work order for a site that is not in complying with a tenant protection plan and the number of such recommendations followed by the commissioner.,Every X months,3,,January 31 2020,,"New York City Charter Chapter 26, Section 650(b)",LL 161/2017,2020-01-31,
38,"Buildings, Department of (DOB)",Report on Agency Policies on Identifying Information,"Report regarding the collection, retention, and disclosure of identifying information by such agency and any contractors or subcontractors utilized by such agency",Every X years,2,,July 31 2020,,"New York City Administrative Code Title 23, Section 1205",LL 245/2017,2020-07-31,
39,"Buildings, Department of (DOB)",Report on Audits of Certifications of Correction of Hazardous Conditions,"Report on audit including the total number of audits conducted;2. The percentage of certifications of correction audited;3. The percentage of audited certifications of correction found to have been false; 4. For audited certifications of correction found to have been false, the total amount of civil penalties collected and, if applicable, the number of additional sanctions imposed, disaggregated by type; and 5. For buildings where an audited certification of correction is found to have been false in the reporting period, whether a certification of correction filed for such building has been audited by the department of buildings or the department of housing preservation and development in the previous 5 years, and whether such audit or audits resulted in a finding or findings of false certification",Every X years,1,,March 31 2020,,"New York City Administrative Code Title 26, Section 2503",LL 117/2019,2020-03-31,
40,"Buildings, Department of (DOB)",Report on Building Closure,"Report on the number of closings made in the previous year, the locations of such closings, and the nature and use of the premises closed",Every X years,1,,January 1 2020,,New York City Administrative Code Title 28 Section 214.1.6,LL 33/2007,2020-01-01,
42,"Buildings, Department of (DOB)",Report on Completed Applications for New Buildings or Alterations Requiring New Certificate of Occupancy,"Report with copy of all completed applications for a new building or an alteration that will require a new certificate of occupancy for a building, received during the prior week, disaggregated by community board",Every X weeks,1,,January 1 2020,,"New York City Administrative Code, Title 28, Section 103.11",LL 10/2016,2020-01-01,
43,"Buildings, Department of (DOB)",Report on Construction Incidents Resulting in Injury or Fatality,Report including  (i) the number of complaints received disaggregated by building; (ii) the average time taken to respond to complaints; (iii) the number of monitored occupied multiple dwellings with valid permits for alteration or addition as described in section 28-103.26.2; (iv) the number of initial and periodic inspections conducted disaggregated by building; and (v) the number and type of violations issued disaggregated by building,Every X months,1,,January 31 2020,,"New York City Administrative Code, Title 28, Section 103.21",LL 78/2017,2020-01-31,
44,"Buildings, Department of (DOB)",Report on Determinations under Section 28.211.1,"Report on determinations of material false statement in any certificate, professional certification, form, signed statement, application, report or certification of the correction of a violation that is either submitted directly to the department or that is generated with the intent that the department rely on its assertions",Every X years,1,,January 30 2020,,New York City Administrative Code Title 28 Section 211.1.4,LL 107/2019,2020-01-30,
45,"Buildings, Department of (DOB)",Report on education and outreach regarding single-occupant toilet room requirements,"Report on the education and outreach conducted as required by section 28-103.32 including a description of how such outreach was conducted and the number of business owners reached through the outreach; 2. The number of complaints related to sections 403.2.1 and 403.4 of the New York city plumbing code reported to 311, disaggregated by online complaints and phone complaints; 3. The number of violations issued as a result of such complaints; 4. The total amount of penalties imposed as a result of such violations for the immediately preceding year; and 5. Whether subsequent inspections were conducted by the department to ensure future compliance with such sections of the New York city plumbing code (with the Human Rights, City Commission on (CCHR))",Every X years,1,,April 1 2020,April 1 2023,"New York City Administrative Code, Title 28, Section 103.32.1",LL 190/2018,2020-04-01,2023-04-01
46,"Buildings, Department of (DOB)",Report on Effectiveness of Real Time Enforcement,Report including (i) the number of complaints received disaggregated by building; (ii) the average time taken to respond to complaints; (iii) the number of monitored occupied multiple dwellings with valid permits for alteration or addition as described in section 28-103.26.2; (iv) the number of initial and periodic inspections conducted disaggregated by building; and (v) the number and type of violations issued disaggregated by building,Every X years,1,,January 31 2020,,"New York City Administrative Code, Title 28, Section 103.27.5",LL 188/2017,2020-01-31,
47,"Buildings, Department of (DOB)",Report on Findings and Recommendations from the Accessory Sign Task Force,"Report on relevance and appropriateness of current regulatory practices for accessory signs in the zoning resolution and building code and the issues faced by businesses, especially small businesses, in complying with these regulations, evaluation of the special sign hanger qualifications established in section 28-415.4.2 of the administrative code and recommendations as to (i) whether such qualifications should be changed and (ii) the feasibility and implications of amending such qualifications to allow certain general contractors as defined in section 28-401.3 of the administrative code to hang or attach accessory signs",Once,1,,February 9 2020,,,LL 28/2019,2020-02-09,
48,"Buildings, Department of (DOB)",Report on Gas Safety Risk Factors/Gas Utility Risk Classification,Report on how the city has made use of identified risk factors in targeting enforcement of laws and rules relating to the delivery by pipe or usage of gas in residential and commercial buildings and the efficacy of such targeted enforcement.,Every X years,3,,December 1 2020,,New York City Administrative Code Title 24 Section 425,LL 155/2016,2020-12-01,
49,"Buildings, Department of (DOB)",Report on Illegal Conversions of Dwelling Units from Permanent Residences,With the Mayor's Office of Special Enforcement,Every X years,1,,September 1 2020,,New York City Administrative Code Title 28 Section 210.3.1,LL 87/2017,2020-09-01,
50,"Buildings, Department of (DOB)",Report on Implementation of Section 3321 of the Building Code (Regarding Site Safety Training),"Report on Implementation of Site Safety Training provisions of Administrative Code Title 28, Chapter 7, Section 3321 ,including the number of SST providers in existence at the end of such fiscal year. Such number shall also be disaggregated by which condition of item 1 of the definition of ""site safety training (SST) provider"" set forth in section 3302.1 of the New York city building code is satisfied by each such provider.  2.  The number of SST cards issued in such fiscal year. 3. The number of temporary SST cards issued in such fiscal year.  4. The number of violations of such section issued in such fiscal year, disaggregated by violation type.  5. A list of building sites where violations of such section were issued and, for each such site, the following information disaggregated by violation type:  5.1. The number of follow-up inspections conducted pursuant to section 28-204.1.1.  5.2. The average frequency of such follow-up inspections.  5.3. The number of violations of section 3321 of the New York city building code issued as a result of such inspections. 6. A description of the enforcement mechanisms used by the department to ensure the integrity of training provided by SST providers in connection with section 3321 of the New York city building code and that such training satisfies the requirements of such section and any rules or department requirements relating to such training",Every X years ,1,,September 30 2020,,"New York City Administrative Code, Title 28, Section 103.29",LL 219/2019,2020-09-30,
51,"Buildings, Department of (DOB)",Report on Open Data Compliance,"Report on which public data set or sets that it is unable to make available, the reasons why it cannot do so and the date by which the agency expects that such public data set or sets will be available on the single web portal",,,"Annually, direct to Mayor's Office for Open Data",,,"New York City Administrative Code Title 23, Section 502(a)",LL 11/2012,,
52,"Buildings, Department of (DOB)",Report on Predicted Energy Use Targets for Covered Buildings,"For amendments due to be submitted to the City Council in or after 2025, a report recommending predicted energy use targets for covered buildings, including at a minimum metrics, types, examples of designs and more",,,By no later than January 1 of the year before such amendments are due to be submitted to the city council,,,"New York City Administrative Code, Title 28, Section 1001.3.4",LL 32/2018,,
53,"Buildings, Department of (DOB)",Report on preliminary inspections to verify occupancy status,Report describing the findings of preliminary inspections performed pursuant to section 28-116.2.1 in the preceding year,Every X years,1,,January 1 2020,,"New York City Administrative Code, Title 28, Section 116.2.1.1",LL 115/2019,2020-01-01,
54,"Buildings, Department of (DOB)",Report on Privately Owned Public Spaces,"A list of the complaints received, the enforcement actions taken, whether the department of buildings authorized closure of such privately owned public space and if so, the duration of and reason for each such closure.",Every X years,1,,December 31 2020,,New York City Administrative Code Title 25 Section 114(f)(2),LL 116/2017,2020-12-31,
55,"Buildings, Department of (DOB)",Report on Recommendations of the Task Force on Construction Work in Occupied Buildings,"Report including its findings on evaluation of the current practices of the individual agencies represented in the task force with regards to issues tenants face during construction or renovation of residential buildings, and recommendations for improving interagency coordination and sharing of information (with Task Force on Construction Work in Occupied Buildings)",Every X years,1,,February 27 2020,February 27 2021,,LL 151/2017,2020-02-27,2021-02-27
56,"Human Rights, NYC Commission on (NYCCHR)",Educational Materials on Single-Occupant Toilet Room Outreach Materials,Educational materials to inform transgender and gender non-conforming individuals of a building owner's required compliance with sections 403.2.1 and 403.4 of the New York city plumbing code and the violations and penalties that result from non-compliance with such sections,Once,1,,May 30 2020 ,,"New York City Administrative Code, Title 8, Section 133",LL 190/2018,2020-05-30,
57,"Buildings, Department of (DOB)",Report on Site Safety Managers and Coordinators,"A summary of the actions taken by any agency as a result of any comment, question, complaint or recommendation from or forwarded by such office",Every X years,1,,October 1 2020,,"New York City Administrative Code, Title 28, Section 103.31",LL 224/2017,2020-10-01,
59,Business Integrity Commission (BIC),Fulton Fish Market,"Detailed report on activities pertinent to the market, including listing of names and addresses of all conducting business in the market, acts of physical violence, all threats of such to person and/or property, referrals to prosecutions and results of same.",,,"Annually, one week after Mayor's Management Report",,,"New York City Administrative Code Title 22, Section 226",,,
60,Business Integrity Commission (BIC),Language Access Implementation Plan/Local Law 30 of 2017 Report,,Every X years,3,,December 31 2020,,New York City Administrative Code Title 23 Section 1102(d),LL30/2017,2020-12-31,
61,Business Integrity Commission (BIC),New York City Gambling Control Commission Report,,Every X years,1,,January 1 2020,,,LL 57/1997,2020-01-01,
62,Business Integrity Commission (BIC),New York City Gambling Control Commission Report-Shipboard Gambling,,Every X years,1,,January 1 2020,,,LL 57/1997,2020-01-01,
63,Business Integrity Commission (BIC),Other Public Wholesale Markets (i.e. meat market),"Detailed report on the Department's activities pursuant to this chapter, including prosecutions, Applications denied, IDs issued etc.",,,"Annually, one week after Mayor's Management Report",,,"New York City Administrative Code Title 22, Section 269",,,
64,Business Integrity Commission (BIC),Quarterly Equal Employment Opportunity and Diversity Plan Implementation,"A report on the agency's efforts during the previous quarter to implement the plan adopted pursuant to paragraph nineteen (annual plan) of Section 815(a),including details of agency's efforts to implement equal employment practices, including statistical information regarding total employment, including provisional, seasonal, per-diem and part-time employees, new hiring and promotions in a manner which facilitates understanding of an agency's efforts to provide fair and effective equal opportunity employment for minority group members, women and members of other groups who are employed by, or who seek employment with, city agencies",Every X months,3,,January 1 2020,,"New York City Charter Chapter 35, Section 815(i) ","LL 102/1977, LL 59/1996, LL 12/2019",2020-01-01,
65,Business Integrity Commission (BIC),Report on Agency Policies on Identifying Information,"Report regarding the collection, retention, and disclosure of identifying information by such agency and any contractors or subcontractors utilized by such agency",Every X years,2,,July 31 2020,,"New York City Administrative Code Title 23, Section 1205",LL 245/2017,2020-07-31,
66,Business Integrity Commission (BIC),Report on Open Data Compliance,"Report on which public data set or sets that it is unable to make available, the reasons why it cannot do so and the date by which the agency expects that such public data set or sets will be available on the single web portal",,,"Annually, direct to Mayor's Office for Open Data",,,"New York City Administrative Code Title 23, Section 502(a)",LL 11/2012,,
67,Campaign Finance Board (CFB),Language Access Implementation Plan/Local Law 30 of 2017 Report,,Every X years,3,,December 31 2020,,New York City Administrative Code Title 23 Section 1102(d),LL30/2017,2020-12-31,
68,Campaign Finance Board (CFB),Quarterly Equal Employment Opportunity and Diversity Plan Implementation,"A report on the agency's efforts during the previous quarter to implement the plan adopted pursuant to paragraph nineteen (annual plan) of Section 815(a),including details of agency's efforts to implement equal employment practices, including statistical information regarding total employment, including provisional, seasonal, per-diem and part-time employees, new hiring and promotions in a manner which facilitates understanding of an agency's efforts to provide fair and effective equal opportunity employment for minority group members, women and members of other groups who are employed by, or who seek employment with, city agencies",Every X months,3,,January 1 2020,,"New York City Charter Chapter 35, Section 815(i) ","LL 102/1977, LL 59/1996, LL 12/2019",2020-01-01,
69,Campaign Finance Board (CFB),Report on Agency Policies on Identifying Information,"Report regarding the collection, retention, and disclosure of identifying information by such agency and any contractors or subcontractors utilized by such agency",Every X years,2,,July 31 2020,,"New York City Administrative Code Title 23, Section 1205",LL 245/2017,2020-07-31,
70,Campaign Finance Board (CFB),Report on Conduct of Election Campaigns,"Every 4 years and at request of Mayor or City Council or when deemed necessary by the Board, a review and evaluation of the effect of campaign finance upon the conduct of elections in the city (see details)",Every X years,4,,September 1 2020,,"New York City Administrative Code Title 3, Sections 713",,2020-09-01,
71,Campaign Finance Board (CFB),Report on Functionality of Electronic Disclosure Obligations Software,Report when software does not function including the cause for such disclosure software not enabling users to meet such obligations and the date upon which such disclosure software is expected to have such functionality,,,As needed,,,"New York City Administrative Code Title 3, Sections 708(7)(b)",LL 196/2016,,
72,Campaign Finance Board (CFB),Report on Open Data Compliance,"Report on which public data set or sets that it is unable to make available, the reasons why it cannot do so and the date by which the agency expects that such public data set or sets will be available on the single web portal",,,"Annually, direct to Mayor's Office for Open Data",,,"New York City Administrative Code Title 23, Section 502(a)",LL 11/2012,,
73,Campaign Finance Board (CFB),Voter Assistance Advisory Committee,"The voter assistance commission shall receive and review the annual report of the coordinator of voter assistance, and, together with such comments as the commission deems necessary and appropriate, forward copies of such report to the mayor, the council, the borough presidents, and all other public officials with responsibilities for policies, programs and appropriations related to voter registration and voting in New York City and to private entities that are currently or potentially involved in activities intended to increase voter registration and voting",Every X years,1,,January 31 2020,,New York City Charter Section 1054,,2020-01-31,
74,Campaign Finance Board (CFB),Voter Assistance Advisory Committee Annual Report,With Voter Assistance Advisory Committee,Every X years,1,,January 1 2020,,,LL 68/1993,2020-01-01,
75,Campaign Finance Board (CFB),Voter Guide,"Detailed instructions to voters on how to participate in the electoral process along with information on candidates. In election cycles, for every election in which there are contested elections for the offices of the mayor, public advocate, borough president, or city council or ballot proposals or referenda.",,,As needed,,,New York City Charter Section 1053,,,
76,"Chief Medical Examiner, NYC Office of (OCME)",Language Access Implementation Plan/Local Law 30 of 2017 Report,,Every X years,3,,December 31 2020,,New York City Administrative Code Title 23 Section 1102(d),LL30/2017,2020-12-31,
77,"Chief Medical Examiner, NYC Office of (OCME)",Quarterly Equal Employment Opportunity and Diversity Plan Implementation,"A report on the agency's efforts during the previous quarter to implement the plan adopted pursuant to paragraph nineteen (annual plan) of Section 815(a),including details of agency's efforts to implement equal employment practices, including statistical information regarding total employment, including provisional, seasonal, per-diem and part-time employees, new hiring and promotions in a manner which facilitates understanding of an agency's efforts to provide fair and effective equal opportunity employment for minority group members, women and members of other groups who are employed by, or who seek employment with, city agencies",Every X months,3,,January 1 2020,,"New York City Charter Chapter 35, Section 815(i) ","LL 102/1977, LL 59/1996, LL 12/2019",2020-01-01,
78,"Chief Medical Examiner, NYC Office of (OCME)",Report on Agency Policies on Identifying Information,"Report regarding the collection, retention, and disclosure of identifying information by such agency and any contractors or subcontractors utilized by such agency",Every X years,2,,July 31 2020,,"New York City Administrative Code Title 23, Section 1205",LL 245/2017,2020-07-31,
79,"Chief Medical Examiner, NYC Office of (OCME)",Report on Open Data Compliance,"Report on which public data set or sets that it is unable to make available, the reasons why it cannot do so and the date by which the agency expects that such public data set or sets will be available on the single web portal",,,"Annually, direct to Mayor's Office for Open Data",,,"New York City Administrative Code Title 23, Section 502(a)",LL 11/2012,,
80,"Chief Medical Examiner, NYC Office of (OCME)",Root Cause Analysis Committee Report,,,,As needed,,,,LL 85/2013,,
81,"Children's Services, Administration for (ACS)",Accountability Review Panel/Annual Child Fatality Review Report,"Report including (i) the number of fatalities of children known to ACS for the previous year; (ii) the cause of death in such fatalities; (iii) the age, gender, race and ethnicity of children with fatalities for the previous year; (iv) any relevant trends identified and systemic recommendations, including opportunities for inter-agency collaboration; and (v) a summary of any case practice findings and agency policy changes made in response to child fatalities in the previous 12 months.",Every X years,1,,June 30 2020,,"New York City Administrative Code Title 21, Section 915",LL 19/2018,2020-06-30,
82,"Children's Services, Administration for (ACS)",Annual Detention Incident Reports/Close-to-Home Annual,"Incidents including use of restraint, injuries, fights, and child abuse, disaggregated by secure and non-secure detention facilities and non-secure and limited secure placement facilities. Due sixty days after the end of each fiscal year.",Every X years,1,,August 29 2020,,"New York City Administrative Code Title 21, Section 906(a) and (b)","LL 14/2010, LL 44/2013",2020-08-29,
